marque , processeur , RAM , disqueDur , ecran, prix
acer, i3 , 2Go, 500Go , 10.5, 20000
acer, i3 , 4Go, 500Go , 10.5, 19000
acer, i3 , 2Go, 500Go , 11.6, 25000
acer, i3 , 2Go, 500Go , 11.6, 23500
acer, i3 , 2Go, 500Go , 12.3, 26000
acer, i3 , 2Go, 500Go , 13.3, 27000
acer, i3 , 4Go, 500Go , 13.3, 24500
acer, i3 , 4Go, 1000Go , 10.5, 21000
acer, i3 , 2Go, 1000Go , 10.5, 20000
acer, i3 , 4Go, 1000Go , 11.6, 20000
acer, i3 , 2Go, 1000Go , 11.6, 25000
acer, i3 , 2Go, 1000Go , 11.6, 19000
acer, i3 , 2Go, 1000Go , 12.3, 22500
acer, i3 , 2Go, 1000Go , 12.3, 22000
acer, i3 , 6Go, 1000Go , 13.3, 23500
acer, i5 , 2Go, 500Go , 10.5, 30000
acer, i5 , 4Go, 500Go , 10.5, 39000
acer, i5 , 4Go, 1000Go , 11.6, 41000
acer, i5 , 4Go, 1000Go , 12.3, 44500
acer, i5 , 4Go, 1500Go , 12.3, 47000
acer, i5 , 6Go, 500Go , 10.5, 31000
acer, i5 , 6Go, 500Go , 11.6, 34000
acer, i5 , 6Go, 1000Go , 12.3, 38000
acer, i5 , 6Go, 500Go , 12.3, 38000
acer, i5 , 6Go, 1500Go , 13.3, 50000
acer, i5 , 6Go, 2000Go , 13.3, 55000
acer, i5 , 6Go, 1000Go , 13.3, 37000
acer, i5 , 6Go, 1500Go , 10.5, 39000
acer, i5 , 8Go, 1000Go , 10.5, 45000
acer, i5 , 8Go, 1000Go , 11.6, 47000
acer, i5 , 8Go, 1000Go , 12.3, 48000
acer, i5 , 10Go, 1000Go , 11.6, 75000
acer, i5 , 10Go, 1500Go , 12.3, 80000
acer, i5 , 10Go, 1500Go , 13.3, 81500
acer, i5 , 10Go, 1500Go , 13.3, 83500
acer, i5 , 10Go, 2000Go , 13.3, 86500
acer, i5 , 10Go, 2000Go , 12.3, 84500
acer, i5 , 12Go, 2000Go , 12.3, 85000
acer, i5 , 12Go, 2000Go , 13.3, 86000
acer, i7 , 2Go, 500Go , 10.5, 40000
acer, i7 , 4Go, 500Go , 10.5, 49000
acer, i7 , 4Go, 1000Go , 11.6, 51000
acer, i7 , 4Go, 1000Go , 12.3, 54500
acer, i7 , 4Go, 1500Go , 12.3, 57000
acer, i7 , 6Go, 500Go , 10.5, 41000
acer, i7 , 6Go, 500Go , 11.6, 44000
acer, i7 , 6Go, 1000Go , 12.3, 48000
acer, i7 , 6Go, 500Go , 12.3, 48000
acer, i7 , 6Go, 1500Go , 13.3, 60000
acer, i7 , 6Go, 2000Go , 13.3, 65000
acer, i7 , 6Go, 1000Go , 13.3, 47000
acer, i7 , 6Go, 1500Go , 10.5, 49000
acer, i7 , 8Go, 1000Go , 10.5, 55000
acer, i7 , 8Go, 1000Go , 11.6, 57000
acer, i7 , 8Go, 1000Go , 12.3, 58000
acer, i7 , 10Go, 1000Go , 11.6, 85000
acer, i7 , 10Go, 1500Go , 12.3, 90000
acer, i7 , 10Go, 1500Go , 13.3, 91500
acer, i7 , 10Go, 1500Go , 13.3, 93500
acer, i7 , 10Go, 2000Go , 13.3, 96500
acer, i7 , 10Go, 2000Go , 12.3, 94500
acer, i7 , 12Go, 2000Go , 12.3, 95000
acer, i7 , 12Go, 2000Go , 13.3, 86000
acer, i9 , 2Go, 500Go , 10.5, 60000
acer, i9 , 4Go, 500Go , 10.5, 69000
acer, i9 , 4Go, 1000Go , 11.6, 71000
acer, i9 , 4Go, 1000Go , 12.3, 74500
acer, i9 , 4Go, 1500Go , 12.3, 77000
acer, i9 , 6Go, 500Go , 10.5, 61000
acer, i9 , 6Go, 500Go , 11.6, 64000
acer, i9 , 6Go, 1000Go , 12.3, 68000
acer, i9 , 6Go, 500Go , 12.3, 68000
acer, i9 , 6Go, 1500Go , 13.3, 80000
acer, i9 , 6Go, 2000Go , 13.3, 85000
acer, i9 , 6Go, 1000Go , 13.3, 67000
acer, i9 , 6Go, 1500Go , 10.5, 69000
acer, i9 , 8Go, 1000Go , 10.5, 75000
acer, i9 , 8Go, 1000Go , 11.6, 77000
acer, i9 , 8Go, 1000Go , 12.3, 78000
acer, i9 , 10Go, 1000Go , 11.6, 105000
acer, i9 , 10Go, 1500Go , 12.3, 110000
acer, i9 , 10Go, 1500Go , 13.3, 111500
acer, i9 , 10Go, 1500Go , 13.3, 113500
acer, i9 , 10Go, 2000Go , 13.3, 116500
acer, i9 , 10Go, 2000Go , 12.3, 114500
acer, i9 , 12Go, 2000Go , 12.3, 115000
acer, i9 , 12Go, 2000Go , 13.3, 106000
