marque , processeur , RAM , disqueDur , ecran, prix
apple, i3 , 2Go, 500Go , 10.5, 20000
apple, i3 , 4Go, 500Go , 10.5, 19000
apple, i3 , 2Go, 500Go , 11.6, 25000
apple, i3 , 2Go, 500Go , 11.6, 23500
apple, i3 , 2Go, 500Go , 12.3, 26000
apple, i3 , 2Go, 500Go , 13.3, 27000
apple, i3 , 4Go, 500Go , 13.3, 24500
apple, i3 , 4Go, 1000Go , 10.5, 21000
apple, i3 , 2Go, 1000Go , 10.5, 20000
apple, i3 , 4Go, 1000Go , 11.6, 20000
apple, i3 , 2Go, 1000Go , 11.6, 25000
apple, i3 , 2Go, 1000Go , 11.6, 19000
apple, i3 , 2Go, 1000Go , 12.3, 22500
apple, i3 , 2Go, 1000Go , 12.3, 22000
apple, i3 , 6Go, 1000Go , 13.3, 23500
apple, i5 , 2Go, 500Go , 10.5, 30000
apple, i5 , 4Go, 500Go , 10.5, 39000
apple, i5 , 4Go, 1000Go , 11.6, 41000
apple, i5 , 4Go, 1000Go , 12.3, 44500
apple, i5 , 4Go, 1500Go , 12.3, 47000
apple, i5 , 6Go, 500Go , 10.5, 31000
apple, i5 , 6Go, 500Go , 11.6, 34000
apple, i5 , 6Go, 1000Go , 12.3, 38000
apple, i5 , 6Go, 500Go , 12.3, 38000
apple, i5 , 6Go, 1500Go , 13.3, 50000
apple, i5 , 6Go, 2000Go , 13.3, 55000
apple, i5 , 6Go, 1000Go , 13.3, 37000
apple, i5 , 6Go, 1500Go , 10.5, 39000
apple, i5 , 8Go, 1000Go , 10.5, 45000
apple, i5 , 8Go, 1000Go , 11.6, 47000
apple, i5 , 8Go, 1000Go , 12.3, 48000
apple, i5 , 10Go, 1000Go , 11.6, 75000
apple, i5 , 10Go, 1500Go , 12.3, 80000
apple, i5 , 10Go, 1500Go , 13.3, 81500
apple, i5 , 10Go, 1500Go , 13.3, 83500
apple, i5 , 10Go, 2000Go , 13.3, 86500
apple, i5 , 10Go, 2000Go , 12.3, 84500
apple, i5 , 12Go, 2000Go , 12.3, 85000
apple, i5 , 12Go, 2000Go , 13.3, 86000
apple, i7 , 2Go, 500Go , 10.5, 40000
apple, i7 , 4Go, 500Go , 10.5, 49000
apple, i7 , 4Go, 1000Go , 11.6, 51000
apple, i7 , 4Go, 1000Go , 12.3, 54500
apple, i7 , 4Go, 1500Go , 12.3, 57000
apple, i7 , 6Go, 500Go , 10.5, 41000
apple, i7 , 6Go, 500Go , 11.6, 44000
apple, i7 , 6Go, 1000Go , 12.3, 48000
apple, i7 , 6Go, 500Go , 12.3, 48000
apple, i7 , 6Go, 1500Go , 13.3, 60000
apple, i7 , 6Go, 2000Go , 13.3, 65000
apple, i7 , 6Go, 1000Go , 13.3, 47000
apple, i7 , 6Go, 1500Go , 10.5, 49000
apple, i7 , 8Go, 1000Go , 10.5, 55000
apple, i7 , 8Go, 1000Go , 11.6, 57000
apple, i7 , 8Go, 1000Go , 12.3, 58000
apple, i7 , 10Go, 1000Go , 11.6, 85000
apple, i7 , 10Go, 1500Go , 12.3, 90000
apple, i7 , 10Go, 1500Go , 13.3, 91500
apple, i7 , 10Go, 1500Go , 13.3, 93500
apple, i7 , 10Go, 2000Go , 13.3, 96500
apple, i7 , 10Go, 2000Go , 12.3, 94500
apple, i7 , 12Go, 2000Go , 12.3, 95000
apple, i7 , 12Go, 2000Go , 13.3, 86000
apple, i9 , 2Go, 500Go , 10.5, 60000
apple, i9 , 4Go, 500Go , 10.5, 69000
apple, i9 , 4Go, 1000Go , 11.6, 71000
apple, i9 , 4Go, 1000Go , 12.3, 74500
apple, i9 , 4Go, 1500Go , 12.3, 77000
apple, i9 , 6Go, 500Go , 10.5, 61000
apple, i9 , 6Go, 500Go , 11.6, 64000
apple, i9 , 6Go, 1000Go , 12.3, 68000
apple, i9 , 6Go, 500Go , 12.3, 68000
apple, i9 , 6Go, 1500Go , 13.3, 80000
apple, i9 , 6Go, 2000Go , 13.3, 85000
apple, i9 , 6Go, 1000Go , 13.3, 67000
apple, i9 , 6Go, 1500Go , 10.5, 69000
apple, i9 , 8Go, 1000Go , 10.5, 75000
apple, i9 , 8Go, 1000Go , 11.6, 77000
apple, i9 , 8Go, 1000Go , 12.3, 78000
apple, i9 , 10Go, 1000Go , 11.6, 105000
apple, i9 , 10Go, 1500Go , 12.3, 110000
apple, i9 , 10Go, 1500Go , 13.3, 111500
apple, i9 , 10Go, 1500Go , 13.3, 113500
apple, i9 , 10Go, 2000Go , 13.3, 116500
apple, i9 , 10Go, 2000Go , 12.3, 114500
apple, i9 , 12Go, 2000Go , 12.3, 115000
apple, i9 , 12Go, 2000Go , 13.3, 106000
