marque , processeur , RAM , disqueDur , ecran, prix
asus, i3 , 2Go, 500Go , 10.5, 20000
asus, i3 , 4Go, 500Go , 10.5, 19000
asus, i3 , 2Go, 500Go , 11.6, 25000
asus, i3 , 2Go, 500Go , 11.6, 23500
asus, i3 , 2Go, 500Go , 12.3, 26000
asus, i3 , 2Go, 500Go , 13.3, 27000
asus, i3 , 4Go, 500Go , 13.3, 24500
asus, i3 , 4Go, 1000Go , 10.5, 21000
asus, i3 , 2Go, 1000Go , 10.5, 20000
asus, i3 , 4Go, 1000Go , 11.6, 20000
asus, i3 , 2Go, 1000Go , 11.6, 25000
asus, i3 , 2Go, 1000Go , 11.6, 19000
asus, i3 , 2Go, 1000Go , 12.3, 22500
asus, i3 , 2Go, 1000Go , 12.3, 22000
asus, i3 , 6Go, 1000Go , 13.3, 23500
asus, i5 , 2Go, 500Go , 10.5, 30000
asus, i5 , 4Go, 500Go , 10.5, 39000
asus, i5 , 4Go, 1000Go , 11.6, 41000
asus, i5 , 4Go, 1000Go , 12.3, 44500
asus, i5 , 4Go, 1500Go , 12.3, 47000
asus, i5 , 6Go, 500Go , 10.5, 31000
asus, i5 , 6Go, 500Go , 11.6, 34000
asus, i5 , 6Go, 1000Go , 12.3, 38000
asus, i5 , 6Go, 500Go , 12.3, 38000
asus, i5 , 6Go, 1500Go , 13.3, 50000
asus, i5 , 6Go, 2000Go , 13.3, 55000
asus, i5 , 6Go, 1000Go , 13.3, 37000
asus, i5 , 6Go, 1500Go , 10.5, 39000
asus, i5 , 8Go, 1000Go , 10.5, 45000
asus, i5 , 8Go, 1000Go , 11.6, 47000
asus, i5 , 8Go, 1000Go , 12.3, 48000
asus, i5 , 10Go, 1000Go , 11.6, 75000
asus, i5 , 10Go, 1500Go , 12.3, 80000
asus, i5 , 10Go, 1500Go , 13.3, 81500
asus, i5 , 10Go, 1500Go , 13.3, 83500
asus, i5 , 10Go, 2000Go , 13.3, 86500
asus, i5 , 10Go, 2000Go , 12.3, 84500
asus, i5 , 12Go, 2000Go , 12.3, 85000
asus, i5 , 12Go, 2000Go , 13.3, 86000
asus, i7 , 2Go, 500Go , 10.5, 40000
asus, i7 , 4Go, 500Go , 10.5, 49000
asus, i7 , 4Go, 1000Go , 11.6, 51000
asus, i7 , 4Go, 1000Go , 12.3, 54500
asus, i7 , 4Go, 1500Go , 12.3, 57000
asus, i7 , 6Go, 500Go , 10.5, 41000
asus, i7 , 6Go, 500Go , 11.6, 44000
asus, i7 , 6Go, 1000Go , 12.3, 48000
asus, i7 , 6Go, 500Go , 12.3, 48000
asus, i7 , 6Go, 1500Go , 13.3, 60000
asus, i7 , 6Go, 2000Go , 13.3, 65000
asus, i7 , 6Go, 1000Go , 13.3, 47000
asus, i7 , 6Go, 1500Go , 10.5, 49000
asus, i7 , 8Go, 1000Go , 10.5, 55000
asus, i7 , 8Go, 1000Go , 11.6, 57000
asus, i7 , 8Go, 1000Go , 12.3, 58000
asus, i7 , 10Go, 1000Go , 11.6, 85000
asus, i7 , 10Go, 1500Go , 12.3, 90000
asus, i7 , 10Go, 1500Go , 13.3, 91500
asus, i7 , 10Go, 1500Go , 13.3, 93500
asus, i7 , 10Go, 2000Go , 13.3, 96500
asus, i7 , 10Go, 2000Go , 12.3, 94500
asus, i7 , 12Go, 2000Go , 12.3, 95000
asus, i7 , 12Go, 2000Go , 13.3, 86000
asus, i9 , 2Go, 500Go , 10.5, 60000
asus, i9 , 4Go, 500Go , 10.5, 69000
asus, i9 , 4Go, 1000Go , 11.6, 71000
asus, i9 , 4Go, 1000Go , 12.3, 74500
asus, i9 , 4Go, 1500Go , 12.3, 77000
asus, i9 , 6Go, 500Go , 10.5, 61000
asus, i9 , 6Go, 500Go , 11.6, 64000
asus, i9 , 6Go, 1000Go , 12.3, 68000
asus, i9 , 6Go, 500Go , 12.3, 68000
asus, i9 , 6Go, 1500Go , 13.3, 80000
asus, i9 , 6Go, 2000Go , 13.3, 85000
asus, i9 , 6Go, 1000Go , 13.3, 67000
asus, i9 , 6Go, 1500Go , 10.5, 69000
asus, i9 , 8Go, 1000Go , 10.5, 75000
asus, i9 , 8Go, 1000Go , 11.6, 77000
asus, i9 , 8Go, 1000Go , 12.3, 78000
asus, i9 , 10Go, 1000Go , 11.6, 105000
asus, i9 , 10Go, 1500Go , 12.3, 110000
asus, i9 , 10Go, 1500Go , 13.3, 111500
asus, i9 , 10Go, 1500Go , 13.3, 113500
asus, i9 , 10Go, 2000Go , 13.3, 116500
asus, i9 , 10Go, 2000Go , 12.3, 114500
asus, i9 , 12Go, 2000Go , 12.3, 115000
asus, i9 , 12Go, 2000Go , 13.3, 106000
