marque , processeur , RAM , disqueDur , ecran, prix
dell, i3 , 2Go, 500Go , 10.5, 20000
dell, i3 , 4Go, 500Go , 10.5, 19000
dell, i3 , 2Go, 500Go , 11.6, 25000
dell, i3 , 2Go, 500Go , 11.6, 23500
dell, i3 , 2Go, 500Go , 12.3, 26000
dell, i3 , 2Go, 500Go , 13.3, 27000
dell, i3 , 4Go, 500Go , 13.3, 24500
dell, i3 , 4Go, 1000Go , 10.5, 21000
dell, i3 , 2Go, 1000Go , 10.5, 20000
dell, i3 , 4Go, 1000Go , 11.6, 20000
dell, i3 , 2Go, 1000Go , 11.6, 25000
dell, i3 , 2Go, 1000Go , 11.6, 19000
dell, i3 , 2Go, 1000Go , 12.3, 22500
dell, i3 , 2Go, 1000Go , 12.3, 22000
dell, i3 , 6Go, 1000Go , 13.3, 23500
dell, i5 , 2Go, 500Go , 10.5, 30000
dell, i5 , 4Go, 500Go , 10.5, 39000
dell, i5 , 4Go, 1000Go , 11.6, 41000
dell, i5 , 4Go, 1000Go , 12.3, 44500
dell, i5 , 4Go, 1500Go , 12.3, 47000
dell, i5 , 6Go, 500Go , 10.5, 31000
dell, i5 , 6Go, 500Go , 11.6, 34000
dell, i5 , 6Go, 1000Go , 12.3, 38000
dell, i5 , 6Go, 500Go , 12.3, 38000
dell, i5 , 6Go, 1500Go , 13.3, 50000
dell, i5 , 6Go, 2000Go , 13.3, 55000
dell, i5 , 6Go, 1000Go , 13.3, 37000
dell, i5 , 6Go, 1500Go , 10.5, 39000
dell, i5 , 8Go, 1000Go , 10.5, 45000
dell, i5 , 8Go, 1000Go , 11.6, 47000
dell, i5 , 8Go, 1000Go , 12.3, 48000
dell, i5 , 10Go, 1000Go , 11.6, 75000
dell, i5 , 10Go, 1500Go , 12.3, 80000
dell, i5 , 10Go, 1500Go , 13.3, 81500
dell, i5 , 10Go, 1500Go , 13.3, 83500
dell, i5 , 10Go, 2000Go , 13.3, 86500
dell, i5 , 10Go, 2000Go , 12.3, 84500
dell, i5 , 12Go, 2000Go , 12.3, 85000
dell, i5 , 12Go, 2000Go , 13.3, 86000
dell, i7 , 2Go, 500Go , 10.5, 40000
dell, i7 , 4Go, 500Go , 10.5, 49000
dell, i7 , 4Go, 1000Go , 11.6, 51000
dell, i7 , 4Go, 1000Go , 12.3, 54500
dell, i7 , 4Go, 1500Go , 12.3, 57000
dell, i7 , 6Go, 500Go , 10.5, 41000
dell, i7 , 6Go, 500Go , 11.6, 44000
dell, i7 , 6Go, 1000Go , 12.3, 48000
dell, i7 , 6Go, 500Go , 12.3, 48000
dell, i7 , 6Go, 1500Go , 13.3, 60000
dell, i7 , 6Go, 2000Go , 13.3, 65000
dell, i7 , 6Go, 1000Go , 13.3, 47000
dell, i7 , 6Go, 1500Go , 10.5, 49000
dell, i7 , 8Go, 1000Go , 10.5, 55000
dell, i7 , 8Go, 1000Go , 11.6, 57000
dell, i7 , 8Go, 1000Go , 12.3, 58000
dell, i7 , 10Go, 1000Go , 11.6, 85000
dell, i7 , 10Go, 1500Go , 12.3, 90000
dell, i7 , 10Go, 1500Go , 13.3, 91500
dell, i7 , 10Go, 1500Go , 13.3, 93500
dell, i7 , 10Go, 2000Go , 13.3, 96500
dell, i7 , 10Go, 2000Go , 12.3, 94500
dell, i7 , 12Go, 2000Go , 12.3, 95000
dell, i7 , 12Go, 2000Go , 13.3, 86000
dell, i9 , 2Go, 500Go , 10.5, 60000
dell, i9 , 4Go, 500Go , 10.5, 69000
dell, i9 , 4Go, 1000Go , 11.6, 71000
dell, i9 , 4Go, 1000Go , 12.3, 74500
dell, i9 , 4Go, 1500Go , 12.3, 77000
dell, i9 , 6Go, 500Go , 10.5, 61000
dell, i9 , 6Go, 500Go , 11.6, 64000
dell, i9 , 6Go, 1000Go , 12.3, 68000
dell, i9 , 6Go, 500Go , 12.3, 68000
dell, i9 , 6Go, 1500Go , 13.3, 80000
dell, i9 , 6Go, 2000Go , 13.3, 85000
dell, i9 , 6Go, 1000Go , 13.3, 67000
dell, i9 , 6Go, 1500Go , 10.5, 69000
dell, i9 , 8Go, 1000Go , 10.5, 75000
dell, i9 , 8Go, 1000Go , 11.6, 77000
dell, i9 , 8Go, 1000Go , 12.3, 78000
dell, i9 , 10Go, 1000Go , 11.6, 105000
dell, i9 , 10Go, 1500Go , 12.3, 110000
dell, i9 , 10Go, 1500Go , 13.3, 111500
dell, i9 , 10Go, 1500Go , 13.3, 113500
dell, i9 , 10Go, 2000Go , 13.3, 116500
dell, i9 , 10Go, 2000Go , 12.3, 114500
dell, i9 , 12Go, 2000Go , 12.3, 115000
dell, i9 , 12Go, 2000Go , 13.3, 106000
