marque , processeur , RAM , disqueDur , ecran, prix
hp, i3 , 2Go, 500Go , 10.5, 20000
hp, i3 , 4Go, 500Go , 10.5, 19000
hp, i3 , 2Go, 500Go , 11.6, 25000
hp, i3 , 2Go, 500Go , 11.6, 23500
hp, i3 , 2Go, 500Go , 12.3, 26000
hp, i3 , 2Go, 500Go , 13.3, 27000
hp, i3 , 4Go, 500Go , 13.3, 24500
hp, i3 , 4Go, 1000Go , 10.5, 21000
hp, i3 , 2Go, 1000Go , 10.5, 20000
hp, i3 , 4Go, 1000Go , 11.6, 20000
hp, i3 , 2Go, 1000Go , 11.6, 25000
hp, i3 , 2Go, 1000Go , 11.6, 19000
hp, i3 , 2Go, 1000Go , 12.3, 22500
hp, i3 , 2Go, 1000Go , 12.3, 22000
hp, i3 , 6Go, 1000Go , 13.3, 23500
hp, i5 , 2Go, 500Go , 10.5, 30000
hp, i5 , 4Go, 500Go , 10.5, 39000
hp, i5 , 4Go, 1000Go , 11.6, 41000
hp, i5 , 4Go, 1000Go , 12.3, 44500
hp, i5 , 4Go, 1500Go , 12.3, 47000
hp, i5 , 6Go, 500Go , 10.5, 31000
hp, i5 , 6Go, 500Go , 11.6, 34000
hp, i5 , 6Go, 1000Go , 12.3, 38000
hp, i5 , 6Go, 500Go , 12.3, 38000
hp, i5 , 6Go, 1500Go , 13.3, 50000
hp, i5 , 6Go, 2000Go , 13.3, 55000
hp, i5 , 6Go, 1000Go , 13.3, 37000
hp, i5 , 6Go, 1500Go , 10.5, 39000
hp, i5 , 8Go, 1000Go , 10.5, 45000
hp, i5 , 8Go, 1000Go , 11.6, 47000
hp, i5 , 8Go, 1000Go , 12.3, 48000
hp, i5 , 10Go, 1000Go , 11.6, 75000
hp, i5 , 10Go, 1500Go , 12.3, 80000
hp, i5 , 10Go, 1500Go , 13.3, 81500
hp, i5 , 10Go, 1500Go , 13.3, 83500
hp, i5 , 10Go, 2000Go , 13.3, 86500
hp, i5 , 10Go, 2000Go , 12.3, 84500
hp, i5 , 12Go, 2000Go , 12.3, 85000
hp, i5 , 12Go, 2000Go , 13.3, 86000
hp, i7 , 2Go, 500Go , 10.5, 40000
hp, i7 , 4Go, 500Go , 10.5, 49000
hp, i7 , 4Go, 1000Go , 11.6, 51000
hp, i7 , 4Go, 1000Go , 12.3, 54500
hp, i7 , 4Go, 1500Go , 12.3, 57000
hp, i7 , 6Go, 500Go , 10.5, 41000
hp, i7 , 6Go, 500Go , 11.6, 44000
hp, i7 , 6Go, 1000Go , 12.3, 48000
hp, i7 , 6Go, 500Go , 12.3, 48000
hp, i7 , 6Go, 1500Go , 13.3, 60000
hp, i7 , 6Go, 2000Go , 13.3, 65000
hp, i7 , 6Go, 1000Go , 13.3, 47000
hp, i7 , 6Go, 1500Go , 10.5, 49000
hp, i7 , 8Go, 1000Go , 10.5, 55000
hp, i7 , 8Go, 1000Go , 11.6, 57000
hp, i7 , 8Go, 1000Go , 12.3, 58000
hp, i7 , 10Go, 1000Go , 11.6, 85000
hp, i7 , 10Go, 1500Go , 12.3, 90000
hp, i7 , 10Go, 1500Go , 13.3, 91500
hp, i7 , 10Go, 1500Go , 13.3, 93500
hp, i7 , 10Go, 2000Go , 13.3, 96500
hp, i7 , 10Go, 2000Go , 12.3, 94500
hp, i7 , 12Go, 2000Go , 12.3, 95000
hp, i7 , 12Go, 2000Go , 13.3, 86000
hp, i9 , 2Go, 500Go , 10.5, 60000
hp, i9 , 4Go, 500Go , 10.5, 69000
hp, i9 , 4Go, 1000Go , 11.6, 71000
hp, i9 , 4Go, 1000Go , 12.3, 74500
hp, i9 , 4Go, 1500Go , 12.3, 77000
hp, i9 , 6Go, 500Go , 10.5, 61000
hp, i9 , 6Go, 500Go , 11.6, 64000
hp, i9 , 6Go, 1000Go , 12.3, 68000
hp, i9 , 6Go, 500Go , 12.3, 68000
hp, i9 , 6Go, 1500Go , 13.3, 80000
hp, i9 , 6Go, 2000Go , 13.3, 85000
hp, i9 , 6Go, 1000Go , 13.3, 67000
hp, i9 , 6Go, 1500Go , 10.5, 69000
hp, i9 , 8Go, 1000Go , 10.5, 75000
hp, i9 , 8Go, 1000Go , 11.6, 77000
hp, i9 , 8Go, 1000Go , 12.3, 78000
hp, i9 , 10Go, 1000Go , 11.6, 105000
hp, i9 , 10Go, 1500Go , 12.3, 110000
hp, i9 , 10Go, 1500Go , 13.3, 111500
hp, i9 , 10Go, 1500Go , 13.3, 113500
hp, i9 , 10Go, 2000Go , 13.3, 116500
hp, i9 , 10Go, 2000Go , 12.3, 114500
hp, i9 , 12Go, 2000Go , 12.3, 115000
hp, i9 , 12Go, 2000Go , 13.3, 106000
