marque , processeur , RAM , disqueDur , ecran, prix
lenovo, i3 , 2Go, 500Go , 10.5, 20000
lenovo, i3 , 4Go, 500Go , 10.5, 19000
lenovo, i3 , 2Go, 500Go , 11.6, 25000
lenovo, i3 , 2Go, 500Go , 11.6, 23500
lenovo, i3 , 2Go, 500Go , 12.3, 26000
lenovo, i3 , 2Go, 500Go , 13.3, 27000
lenovo, i3 , 4Go, 500Go , 13.3, 24500
lenovo, i3 , 4Go, 1000Go , 10.5, 21000
lenovo, i3 , 2Go, 1000Go , 10.5, 20000
lenovo, i3 , 4Go, 1000Go , 11.6, 20000
lenovo, i3 , 2Go, 1000Go , 11.6, 25000
lenovo, i3 , 2Go, 1000Go , 11.6, 19000
lenovo, i3 , 2Go, 1000Go , 12.3, 22500
lenovo, i3 , 2Go, 1000Go , 12.3, 22000
lenovo, i3 , 6Go, 1000Go , 13.3, 23500
lenovo, i5 , 2Go, 500Go , 10.5, 30000
lenovo, i5 , 4Go, 500Go , 10.5, 39000
lenovo, i5 , 4Go, 1000Go , 11.6, 41000
lenovo, i5 , 4Go, 1000Go , 12.3, 44500
lenovo, i5 , 4Go, 1500Go , 12.3, 47000
lenovo, i5 , 6Go, 500Go , 10.5, 31000
lenovo, i5 , 6Go, 500Go , 11.6, 34000
lenovo, i5 , 6Go, 1000Go , 12.3, 38000
lenovo, i5 , 6Go, 500Go , 12.3, 38000
lenovo, i5 , 6Go, 1500Go , 13.3, 50000
lenovo, i5 , 6Go, 2000Go , 13.3, 55000
lenovo, i5 , 6Go, 1000Go , 13.3, 37000
lenovo, i5 , 6Go, 1500Go , 10.5, 39000
lenovo, i5 , 8Go, 1000Go , 10.5, 45000
lenovo, i5 , 8Go, 1000Go , 11.6, 47000
lenovo, i5 , 8Go, 1000Go , 12.3, 48000
lenovo, i5 , 10Go, 1000Go , 11.6, 75000
lenovo, i5 , 10Go, 1500Go , 12.3, 80000
lenovo, i5 , 10Go, 1500Go , 13.3, 81500
lenovo, i5 , 10Go, 1500Go , 13.3, 83500
lenovo, i5 , 10Go, 2000Go , 13.3, 86500
lenovo, i5 , 10Go, 2000Go , 12.3, 84500
lenovo, i5 , 12Go, 2000Go , 12.3, 85000
lenovo, i5 , 12Go, 2000Go , 13.3, 86000
lenovo, i7 , 2Go, 500Go , 10.5, 40000
lenovo, i7 , 4Go, 500Go , 10.5, 49000
lenovo, i7 , 4Go, 1000Go , 11.6, 51000
lenovo, i7 , 4Go, 1000Go , 12.3, 54500
lenovo, i7 , 4Go, 1500Go , 12.3, 57000
lenovo, i7 , 6Go, 500Go , 10.5, 41000
lenovo, i7 , 6Go, 500Go , 11.6, 44000
lenovo, i7 , 6Go, 1000Go , 12.3, 48000
lenovo, i7 , 6Go, 500Go , 12.3, 48000
lenovo, i7 , 6Go, 1500Go , 13.3, 60000
lenovo, i7 , 6Go, 2000Go , 13.3, 65000
lenovo, i7 , 6Go, 1000Go , 13.3, 47000
lenovo, i7 , 6Go, 1500Go , 10.5, 49000
lenovo, i7 , 8Go, 1000Go , 10.5, 55000
lenovo, i7 , 8Go, 1000Go , 11.6, 57000
lenovo, i7 , 8Go, 1000Go , 12.3, 58000
lenovo, i7 , 10Go, 1000Go , 11.6, 85000
lenovo, i7 , 10Go, 1500Go , 12.3, 90000
lenovo, i7 , 10Go, 1500Go , 13.3, 91500
lenovo, i7 , 10Go, 1500Go , 13.3, 93500
lenovo, i7 , 10Go, 2000Go , 13.3, 96500
lenovo, i7 , 10Go, 2000Go , 12.3, 94500
lenovo, i7 , 12Go, 2000Go , 12.3, 95000
lenovo, i7 , 12Go, 2000Go , 13.3, 86000
lenovo, i9 , 2Go, 500Go , 10.5, 60000
lenovo, i9 , 4Go, 500Go , 10.5, 69000
lenovo, i9 , 4Go, 1000Go , 11.6, 71000
lenovo, i9 , 4Go, 1000Go , 12.3, 74500
lenovo, i9 , 4Go, 1500Go , 12.3, 77000
lenovo, i9 , 6Go, 500Go , 10.5, 61000
lenovo, i9 , 6Go, 500Go , 11.6, 64000
lenovo, i9 , 6Go, 1000Go , 12.3, 68000
lenovo, i9 , 6Go, 500Go , 12.3, 68000
lenovo, i9 , 6Go, 1500Go , 13.3, 80000
lenovo, i9 , 6Go, 2000Go , 13.3, 85000
lenovo, i9 , 6Go, 1000Go , 13.3, 67000
lenovo, i9 , 6Go, 1500Go , 10.5, 69000
lenovo, i9 , 8Go, 1000Go , 10.5, 75000
lenovo, i9 , 8Go, 1000Go , 11.6, 77000
lenovo, i9 , 8Go, 1000Go , 12.3, 78000
lenovo, i9 , 10Go, 1000Go , 11.6, 105000
lenovo, i9 , 10Go, 1500Go , 12.3, 110000
lenovo, i9 , 10Go, 1500Go , 13.3, 111500
lenovo, i9 , 10Go, 1500Go , 13.3, 113500
lenovo, i9 , 10Go, 2000Go , 13.3, 116500
lenovo, i9 , 10Go, 2000Go , 12.3, 114500
lenovo, i9 , 12Go, 2000Go , 12.3, 115000
lenovo, i9 , 12Go, 2000Go , 13.3, 106000
